Valor,Fecha
22769.5,2017-01-06T08:00:00Z
24364,2017-01-06T09:00:00Z
26275.166666666668,2017-01-06T10:00:00Z
27096.5,2017-01-06T11:00:00Z
26882.333333333332,2017-01-06T12:00:00Z
26976.5,2017-01-06T13:00:00Z
26413.666666666668,2017-01-06T14:00:00Z
24981.833333333332,2017-01-06T15:00:00Z
24283.5,2017-01-06T16:00:00Z
24491.166666666668,2017-01-06T17:00:00Z
26889.166666666668,2017-01-06T18:00:00Z
28472.5,2017-01-06T19:00:00Z
29418.5,2017-01-06T20:00:00Z
30052.666666666668,2017-01-06T21:00:00Z
29828.166666666668,2017-01-06T22:00:00Z
27967.833333333332,2017-01-06T23:00:00Z
26092,2017-01-07T00:00:00Z
24043.333333333332,2017-01-07T01:00:00Z
22457.833333333332,2017-01-07T02:00:00Z
21569.166666666668,2017-01-07T03:00:00Z
21346.833333333332,2017-01-07T04:00:00Z
21539.333333333332,2017-01-07T05:00:00Z
22390.166666666668,2017-01-07T06:00:00Z
23803.333333333332,2017-01-07T07:00:00Z
25409,2017-01-07T08:00:00Z
27659.833333333332,2017-01-07T09:00:00Z
30076.333333333332,2017-01-07T10:00:00Z
30558.666666666668,2017-01-07T11:00:00Z
30099,2017-01-07T12:00:00Z
30255.333333333332,2017-01-07T13:00:00Z
30058.333333333332,2017-01-07T14:00:00Z
28996.166666666668,2017-01-07T15:00:00Z
28275.666666666668,2017-01-07T16:00:00Z
28456.333333333332,2017-01-07T17:00:00Z
30843.5,2017-01-07T18:00:00Z
32524.166666666668,2017-01-07T19:00:00Z
33087.833333333336,2017-01-07T20:00:00Z
33205.166666666664,2017-01-07T21:00:00Z
31905.833333333332,2017-01-07T22:00:00Z
29689.5,2017-01-07T23:00:00Z
27058.166666666668,2017-01-08T00:00:00Z
24772.5,2017-01-08T01:00:00Z
22928,2017-01-08T02:00:00Z
21972.5,2017-01-08T03:00:00Z
21530,2017-01-08T04:00:00Z
21562.833333333332,2017-01-08T05:00:00Z
22033.166666666668,2017-01-08T06:00:00Z
22748,2017-01-08T07:00:00Z
23485.166666666668,2017-01-08T08:00:00Z
